Category,RF Support,RF TPR,RF FPR,XGB Support,XGB TPR,XGB FPR
backdoor,1466,0.9707,0.0033,1466,0.9686,0.0037
benign,15428,0.9998,0.0079,15428,0.9964,0.0069
cryptominer,4,1.0,0.0,4,1.0,0.0
downloader,206,0.8641,0.0006,206,0.7136,0.0007
dropper,143,0.7692,0.0016,143,0.6853,0.0005
exploit,2,1.0,0.0,2,1.0,0.0
informationstealer,90,0.7889,0.0003,90,0.7778,0.0003
p2p-worm,3,0.0,0.0,3,0.0,0.0
pua,6,0.1667,0.0,6,0.3333,0.0
ransomware,164,0.8902,0.0002,164,0.878,0.0003
rootkit,1,0.0,0.0,1,0.0,0.0
trojan,5995,0.9328,0.0121,5995,0.9271,0.0145
trojan-gamethief,1,1.0,0.0,1,1.0,0.0
virus,39,0.9744,0.0,39,1.0,0.0
worm,3339,0.9518,0.0091,3339,0.968,0.0116
